,link,title,bias rating,factual reporting,country,press freedom rating,media type,traffic/popularity,mbfc credibility rating
0,https://www.9news.com/,9News KUSA,least biased,high,usa,mostly free,tv station,high traffic,high credibility
1,https://www.nbc11news.com/,11 News – KKCO,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
2,https://www.12news.com/,12 News (KPNX),least biased,high,usa,mostly free,tv station,medium traffic,high credibility
3,https://www.wibw.com/,13 News – WIBW,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
4,https://www.wifr.com/,23WIFR News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
5,https://247wallst.com/,24/7 Wall St,least biased,high,usa,mostly free,website,medium traffic,high credibility
6,https://www.24ur.com/,24ur.com,least biased,mostly factual,slovenia,moderate freedom,website,high traffic,high credibility
7,https://www.38north.org,38 North,least biased,high,usa,mostly free,organization/foundation,medium traffic,high credibility
8,https://www.audacy.com/1010wins,1010 Wins AM,least biased,high,usa,mostly free,tv station,high traffic,high credibility
9,https://join1440.com/,1440 Newsletter,least biased,high,usa,mostly free,website,medium traffic,high credibility
10,https://abc7chicago.com/,ABC7Chicago.com,least biased,high,usa,mostly free,tv station,high traffic,high credibility
11,https://abc7ny.com/,ABC7 New York,least biased,high,usa,mostly free,tv station,high traffic,high credibility
12,https://www.abc12.com/,ABC12 News (WJRT),least biased,high,usa,mostly free,tv station,medium traffic,high credibility
13,https://news.abs-cbn.com/,ABS-CBN News,least biased,high,philippines,limited freedom,tv station,high traffic,high credibility
14,https://www.actionnewsjax.com/,ActionNewsJax.com,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
15,https://www.adfontesmedia.com/,Ad Fontes Media,least biased,high,usa,mostly free,website,medium traffic,high credibility
16,https://www.adweek.com/,Adweek,least biased,high,usa,mostly free,magazine,medium traffic,high credibility
17,https://africacheck.org,Africa Check,least biased,very high,south africa,mostly free,website,medium traffic,high credibility
18,https://www.agdaily.com/,AgDaily,least biased,high,usa,mostly free,website,minimal traffic,high credibility
19,https://www.afp.com/en/home,AFP (Agence France Presse),least biased,high,france,mostly free,news agency,high traffic,high credibility
20,http://www.ansa.it,Agenzia Nazionale Stampa Associata (ANSA),least biased,high,italy,moderate freedom,news agency,high traffic,high credibility
21,https://www.agerpres.ro/english,Agerpres,least biased,high,romania,moderate freedom,news agency,medium traffic,high credibility
22,https://www.agweb.com/,AgWeb,right-center,high,usa,mostly free,journal,medium traffic,high credibility
23,https://www.airforcetimes.com/,Air Force Times,least biased,high,usa,,newspaper,medium traffic,high credibility
24,https://airwars.org/,Airwars,least biased,high,united kingdom,,organization/foundation,minimal traffic,high credibility
25,https://www.alreporter.com/,Alabama Political Reporter,least biased,high,usa,mostly free,website,medium traffic,high credibility
26,https://democratherald.com/,Albany Democrat-Herald,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
27,https://www.ad.nl/,Algemeen Dagblad,least biased,high,netherlands,mostly free,newspaper,high traffic,high credibility
28,https://allafrica.com,AllAfrica,least biased,high,south africa,mostly free,website,medium traffic,high credibility
29,https://securingdemocracy.gmfus.org/,Alliance for Securing Democracy,least biased,high,usa,mostly free,organization/foundation,medium traffic,high credibility
30,https://www.amarillo.com,Amarillo Globe-News,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
31,https://www.americanheritage.com,American Heritage,least biased,high,usa,mostly free,website,minimal traffic,high credibility
32,https://www.americanpressinstitute.org,American Press Institute (API),least biased,very high,usa,mostly free,organization/foundation,minimal traffic,high credibility
33,https://news.amomama.com/,AmoMama,,mostly factual,cyprus,,,,
34,https://www.adn.com/,Anchorage Daily News,least biased,high,usa,,newspaper,medium traffic,high credibility
35,https://www.independentmail.com/,Anderson Independent Mail,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
36,https://arcdigital.media/,Arc Digital,,high,usa,,,,
37,https://www.arirang.com/,Arirang,least biased,high,south korea,mostly free,tv station,high traffic,high credibility
38,https://www.armytimes.com,Army Times,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
39,https://arstechnica.com,Ars Technica,least biased,high,usa,mostly free,website,high traffic,high credibility
40,https://www.courier-tribune.com/,Asheboro Courier-Tribune,least biased,high,usa (44/180 press freedom),,website,minimal traffic,high credibility
41,https://www.asiatimes.com,Asia Times,least biased,high,hong kong,,newspaper,medium traffic,high credibility
42,https://www.summitdaily.com/,Aspen Times,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
43,https://www.athensmessenger.com/,Athens Messenger,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
44,https://www.atlasobscura.com/,Atlas Obscura,,high,usa,,,,
45,https://auburnpub.com/,Auburn Citizen,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
46,https://www.aap.com.au/,Australian Associated Press (AAP),least biased,high,australia,,news agency,medium traffic,high credibility
47,https://www.avenuenews.com/,Avenue News,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
48,https://www.azfamily.com/,azfamily.com,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
49,https://www.babnet.net/,Babnet Tunisia,least biased,mixed,tunisia,moderate freedom,website,medium traffic,medium credibility
50,https://ballotpedia.org/Main_Page,Ballotpedia,least biased,very-high,usa,,organization/foundation,high traffic,high credibility
51,https://beatricedailysun.com/,Beatrice Daily Sun,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
52,https://www.bnd.com/,Belleville News-Democrat,right-center,high,usa,mostly free,website,medium traffic,high credibility
53,https://www.benzinga.com/,Benzinga,least biased,high,usa,mostly free,website,high traffic,high credibility
