,link,title,bias rating,factual reporting,country,press freedom rating,media type,traffic/popularity,mbfc credibility rating
0,https://www.secondamendmentdaily.com/,2nd Amendment Daily News,extreme right,low,usa,mostly free,website,minimal traffic,low credibility
1,https://www.secondamendmentdaily.com/,4Chan,extreme right,low,usa,mostly free,website,minimal traffic,low credibility
2,https://100percentfedup.com/,100 Percent Fed Up,extreme right,low,usa,mostly free,website,medium traffic,low credibility
3,http://www.12minutos.com/,12minutos.com,not rated,low,unknown,,website,minimal traffic,low credibility
4,https://www.24jours.com/,24Jours.com,right-center,low,cameroon,limited freedom,website,minimal traffic,low credibility
5,http://us24news.com,24 News,extreme right,low,usa,mostly free,website,minimal traffic,low credibility
6,https://2020conservative.com/,2020 Conservative,extreme right,very low,unknown,,website,minimal traffic,low credibility
7,https://www.avoiceformen.com/,A Voice for Men,right,low,usa,mostly free,website,minimal traffic,low credibility
8,https://acting-man.com/,Acting Man,right,mixed,usa,mostly free,website,minimal traffic,low credibility
9,http://actionnews3.com,Action News 3,not rated,very low,unknown,,website,minimal traffic,low credibility
10,https://elizabethjohnston.org/,Activist Mommy/Elizabeth Johnston,extreme right,low,usa,mostly free,website,minimal traffic,low credibility
11,https://adareporter.com/,Ada Reporter,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
12,https://adamscountytimes.com/,Adams County Times,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
13,https://english.alarabiya.net/,Al Arabiya,right-center,mixed,saudi arabia,,tv station,high traffic,low credibility
14,https://albanystandard.com/,Albany Standard,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
15,https://www.albawaba.com/,Al Bawaba,right-center,mixed,jordan,,website,medium traffic,low credibility
16,https://allnewspipeline.com/,All News Pipeline,right-center,low,usa,mostly free,website,medium traffic,low credibility
17,https://www.adflegal.org/,Alliance Defending Freedom,extreme right,low,usa,mostly free,organization/foundation,medium traffic,low credibility
18,https://english.almanar.com.lb,Al Manar,right-center,mixed,lebanon,limited freedom,tv station,medium traffic,low credibility
19,https://www.almasdarnews.com,Al-Masdar News (AMN),right,mixed,lebanon,limited freedom,website,minimal traffic,low credibility
20,https://alohastatenews.com/,Aloha State News,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
21,https://alphanews.org/,Alpha News,far right,low,usa,mostly free,organization/foundation,minimal traffic,low credibility
22,altrighttv (dot) com,Alt-Right TV,extreme right,low,usa,mostly free,organization/foundation,minimal traffic,low credibility
23,https://www.youm7.com/,Al Youm Al Sabea (Youm7),right-center,mixed,egypt,total oppression,newspaper,high traffic,low credibility
24,"extreme bias, consistent promotion of propaganda/conspiracies, poor or no sourcing to credible information, a complete lack of transparency, and/or is fake news. Fake News is the deliberate attempt to publish hoaxes and/or disinformation for the purpose of profit or influence (Learn More). Sources listed in the Questionable Category may be very untrustworthy and should be fact-checked on a per article basis. Please note sources on this list are not considered fake news unless specifically written in the reasoning section for that source. See all Questionable sources.
Overall, we rate America Max News far-Right Biased and Questionable based on a complete lack of transparency, poor souring, propaganda, and evidence of plagiarism.
Detailed Report
Questionable Reasoning",America Max News,right,low,usa,,website,minimal traffic,low credibility
25,https://americanactionnews.com/,American Action News,,,usa,,,,
26,https://www.acpeds.org/,American College of Pediatricians,far-right,low,usa,mostly free,organization/foundation,minimal traffic,low credibility
27,https://www.acpeds.org/,American Conservative Movement (ACM),far-right,low,usa,mostly free,organization/foundation,minimal traffic,low credibility
28,https://www.afa.net/,American Family Association,extreme right,low,usa,mostly free,organization/foundation,medium traffic,low credibility
29,https://afn.net/,American Family News,far right,low,usa (44/180 press freedom),,organization/foundation,medium traffic,low credibility
30,https://americasfreedomfighters.com,Americas Freedom Fighters,extreme right,low,usa,mostly free,website,medium traffic,low credibility
31,https://americangulag.org/,American Gulag,extreme right,very low,usa,mostly free,website,minimal traffic,low credibility
32,https://www.americanlibertyemail.com/,American Liberty Report,far right,low,usa,mostly free,website,minimal traffic,low credibility
33,https://americanlookout.com/,American Lookout,extreme right,low,usa,mostly free,website,minimal traffic,low credibility
34,americanpartisan.org,American Partisan,far right,low,usa,,website,minimal traffic,low credibility
35,https://www.americanpatriotdaily.com/,American Patriot Daily,extreme right,low,usa,mostly free,website,minimal traffic,low credibility
36,https://americanpeopledaily.com/,American People Daily,extreme right,low,usa,,website,minimal traffic,low credibility
37,https://americanprinciplesproject.org/,American Principles Project,extreme right,low,usa,mostly free,organization/foundations,minimal traffic,low credibility
38,https://www.amren.com,American Renaissance Magazine,extreme right,low,usa,mostly free,website,medium traffic,low credibility
39,https://www.tfp.org/,"American Society for the Defense of Tradition, Family, and Property",extreme right,low,usa,mostly free,organization/foundation,minimal traffic,low credibility
40,https://www.americanthinker.com,American Thinker,extreme right,low,usa,mostly free,website,high traffic,low credibility
41,https://americantruthtoday.com/,American Truth Today,,,usa,,,,
42,https://awm.com,American Web Media (AWM),right,mixed,usa,mostly free,website,medium traffic,low credibility
43,https://www.americansarepissed.com/,Americans Are Pissed,,,unknown,,,,
44,https://americansfortruth.com,Americans for Truth (AFTAH),extreme right,very low,usa,mostly free,organization/foundation,minimal traffic,low credibility
45,https://americasnewssource.com/,America’s News Source,,,unknown,,,,
46,https://amestoday.com/,Ames Today,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
47,https://www.analyzingamerica.org/,Analyzing America,,,usa,,,,
48,https://andersonreporter.com/,Anderson Reporter,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
49,https://annearundeltoday.com/,Anne Arundel Today,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
50,https://antelopevalleytoday.com/,Antelope Valley Today,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
51,https://www.arabnews.com/,Arab News,right-center,mixed,saudi arabia,total oppression,newspaper,high traffic,low credibility
52,https://www.archaeology-world.com/,Archaeology World,n/a,mixed,unknown,,website,minimal traffic,low credibility
53,https://aroostooknews.com/,Aroostook News,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
54,https://aapsonline.org/,Association of American Physicians and Surgeons (AAPS),extreme right,low,usa,mostly free,organization/foundation,medium traffic,low credibility
55,https://athensreporter.com/,Athens Reporter,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
56,https://atlstandard.com/,ATL Standard,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
57,https://auburntimes.com/,Auburn Times,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
58,https://backroombuzz.com/,Backroom Buzz,,,usa,,,,
59,https://baldwintimes.com/,Baldwin Times,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
60,https://baltimorecitywire.com/,Baltimore City Wire,right-center,mixed,usa,mostly free,website,minimal traffic,low credibility
