,link,title,bias rating,factual reporting,country,press freedom rating,media type,traffic/popularity,mbfc credibility rating
0,https://www.100milefreepress.net/,100 Mile Free Press,left-center,high,canada,mostly free,newspaper,minimal traffic,high credibility
1,https://604now.com/,604 Now,left-center,mostly factual,canada,mostly free,newspaper,medium traffic,high credibility
2,https://972mag.com/,+972 Magazine,left-center,high,usa,mostly free,website,minimal traffic,high credibility
3,https://www.whitehouse.gov/1600daily,1600 Daily,,mostly factual,usa,,,,
4,https://abcnews.go.com,ABC News,left-center,high,usa,mostly free,tv station,high traffic,high credibility
5,https://www.abc.net.au,ABC News Australia,left-center,high,australia,mostly free,tv station,high traffic,high credibility
6,https://abc11.com/,ABC11 Eyewitness News,left-center,high,usa,mostly free,tv station,medium traffic,high credibility
7,http://www.abbynews.com/,Abbotsford News,left-center,high,canada,mostly free,newspaper,medium traffic,high credibility
8,https://abovethelaw.com/,Above the Law,left-center,high,usa,mostly free,website,medium traffic,high credibility
9,https://www.aceshowbiz.com/,AceShowbiz (ASB),left-center,mixed,indonesia,limited freedom,website,medium traffic,medium credibility
10,https://www.aclu.org/,American Civil Liberties Union (ACLU),left-center,mixed,usa (44/180 press freedom),,organization/foundation,medium traffic,medium credibility
11,http://www.adaderana.lk/,Ada Derana,left-center,mixed,sri lanka,limited freedom,website,medium traffic,medium credibility
12,https://aeon.co/,Aeon,left-center,high,australia,mostly free,website,medium traffic,high credibility
13,http://affinitymagazine.us/,Affinity Magazine,left-center,mixed,usa,mostly free,magazine,minimal traffic,mixed credibility
14,https://africanarguments.org/,African Arguments,left-center,high,united kingdom,mostly free,website,minimal traffic,high credibility
15,https://www.africanews.com/,Africa News,left-center,mostly factual,france,mostly free,tv station,medium traffic,high credibility
16,https://ahvalnews.com/,Ahval News,left-center,mixed,usa,mostly free,website,medium traffic,medium credibility
17,https://www.beaconjournal.com/,Akron Beacon Journal,left-center,high,usa,,newspaper,medium traffic,high credibility
18,https://www.aljazeera.com/,Al Jazeera,left-center,mixed,qatar,,tv station,high traffic,medium credibility
19,https://www.al-monitor.com/,Al Monitor,left-center,high,usa,mostly free,website,high traffic,high credibility
20,https://al-sura.com,Al-Sura,left-center,mixed,usa,mostly free,website,minimal traffic,medium credibility
21,https://www.guttmacher.org/,Alan Guttmacher Institute,left-center,high,usa,mostly free,organization/foundation,medium traffic,high credibility
22,https://www.timesunion.com/,Albany Times-Union,left-center,high,usa,mostly free,newspaper,medium traffic,high credibility
23,https://albertaviews.ca,Alberta Views,left-center,high,canada,mostly free,magazine,minimal traffic,high credibility
24,http://www.allgov.com,AllGov,left-center,high,usa,mostly free,website,minimal traffic,high credibility
25,https://www.northbaynipissing.com/almaguinhighlands-on/,Almaguin News,left-center,high,canada,mostly free,website,minimal traffic,high credibility
26,https://www.amny.com/,AM New York,left-center,high,usa,mostly free,newspaper,medium traffic,high credibility
27,https://www.americamagazine.org/,America Magazine,left-center,high,usa,mostly free,magazine,medium traffic,high credibility
28,https://www.americanimmigrationcouncil.org,American Immigration Council,left-center,high,usa,mostly free,organization/foundation,minimal traffic,high credibility
29,https://www.americanpublicmedia.org,American Public Media,left-center,high,usa (44/180 press freedom),,organization/foundation,minimal traffic,high credibility
30,https://www.americanpurpose.com/,American Purpose,left-center,high,usa,mostly free,website,medium traffic,high credibility
31,https://www.amestrib.com/,Ames Tribune,left-center,high,usa,,newspaper,minimal traffic,high credibility
32,https://www.amnesty.org/en/,Amnesty International,left-center,high,united kingdom,mostly free,organization/foundation,medium traffic,high credibility
33,https://www.thespec.com/local-ancaster,Ancaster News,left-center,high,canada,mostly free,newspaper,minimal traffic,high credibility
34,https://www.annistonstar.com,Anniston Star,left-center,high,usa,mostly free,newspaper,medium traffic,high credibility
35,https://www.anthropocenemagazine.org/,Anthropocene Magazine,left-center,high,usa,mostly free,magazine,minimal traffic,high credibility
36,https://www.adl.org,Anti-Defamation League (ADL),left-center,high,usa,mostly free,organization/foundation,medium traffic,high credibility
37,https://www.aol.com/,AOL,left-center,high,usa,mostly free,website,high traffic,high credibility
38,https://www.apmreports.org/,APM Reports,left-center,high,usa,mostly free,organization/foundation,minimal traffic,high credibility
39,https://www.apple.com/apple-news/,Apple News,left-center,mostly factual,usa,mostly free,app/website,high traffic,high credibility
40,https://www.aptnnews.ca/,APTN News,left-center,high,canada,mostly free,tv station,medium traffic,high credibility
41,https://areomagazine.com,Areo Magazine,left-center,high,united kingdom,mostly free,website,medium traffic,high credibility
42,https://azcapitoltimes.com/,Arizona Capitol Times,left-center,high,usa,mostly free,newspaper,minimal traffic,high credibility
43,https://tucson.com/,Arizona Daily Star,left-center,high,usa,mostly free,newspaper,medium traffic,high credibility
44,https://azdailysun.com,Arizona Daily Sun,left-center,high,usa,mostly free,newspaper,medium traffic,high credibility
45,https://www.azcentral.com,Arizona Republic (AZ Central),left-center,high,usa,mostly free,newspaper,high traffic,high credibility
46,https://www.arktimes.com,Arkansas Times,left-center,high,usa,mostly free,newspaper,medium traffic,high credibility
47,https://www.armscontrol.org,Arms Control Association,left-center,high,usa,mostly free,organization/foundation,medium traffic,high credibility
48,https://www.insideottawavalley.com/arnprior-on/,Arnprior Chronicle-Guide,left-center,high,canada,mostly free,newspaper,minimal traffic,high credibility
49,https://www.arte.tv/,ARTE,left-center,mostly factual,france/germany,mostly free,tv station,high traffic,high credibility
