,link,title,bias rating,factual reporting,country,press freedom rating,media type,traffic/popularity,mbfc credibility rating
0,https://7news.com.au/,7News,right-center,mixed,australia,mostly free,tv station,high traffic,medium credibility
1,https://www.9news.com.au/,9 News (Australia),right-center,high,australia,mostly free,tv station,high traffic,high credibility
2,https://www.19fortyfive.com/,1945 – 19fortyfive.com,right-center,mostly factual,usa,mostly free,website,medium traffic,high credibility
3,www.abc.es,ABC (Spain),right-center,high,spain,mostly free,newspaper,high traffic,high credibility
4,https://www.theadvocates.org/,Advocates for Self Government,right-center,mostly factual,usa,mostly free,website,minimal traffic,medium credibility
5,http://english.ahram.org.eg/,Ahram Online,right-center,mixed,egypt,total oppression,newspaper,medium traffic,medium credibility
6,https://www.al.com/,AL.com (Alabama News),right-center,high,usa,mostly free,newspaper,high traffic,high credibility
7,https://altoday.com/,Alabama Today,right-center,mostly factual,usa,mostly free,website,minimal traffic,high credibility
8,https://www.abqjournal.com/,Albuquerque Journal,right-center,high,usa,mostly free,newspaper,medium traffic,high credibility
9,https://aleteia.org,Aleteia,right-center,mixed,france,mostly free,website,high traffic,medium credibility
10,https://www.echopress.com/,Alexandria Echo Press,right-center,high,usa,mostly free,newspaper,minimal traffic,high credibility
11,https://www.americanactionforum.org/,American Action Forum,right-center,mostly factual,usa,mostly free,organization/foundation,minimal traffic,high credibility
12,https://americanaffairsjournal.org,American Affairs Journal,right-center,high,usa,mostly free,journal,medium traffic,high credibility
13,https://www.acsh.org,American Council on Science and Health,right-center,high,usa,mostly free,organization/foundation,medium traffic,high credibility
14,https://www.americanfirearms.org/,American Firearms Institute,right-center,high,usa,mostly free,website,medium traffic,high credibility
15,https://aier.org,American Institute for Economic Research,right-center,mixed,usa,mostly free,organization/foundation,medium traffic,medium credibility
16,https://americanmilitarynews.com,American Military News,right-center,mostly factual,usa,mostly free,newspaper,medium traffic,high credibility
17,https://www.americasquarterly.org/,Americas Quarterly,right-center,high,usa,mostly free,magazine,medium traffic,high credibility
18,https://www.anchoragepress.com/,Anchorage Press,right-center,high,usa,mostly free,newspaper,minimal traffic,high credibility
19,https://www.andalusiastarnews.com/,Andalusia Star News,right-center,high,usa,mostly free,newspaper,minimal traffic,high credibility
20,https://angusreid.org/,Angus Reid Institute,right-center,high,canada,mostly free,organization/foundation,medium traffic,high credibility
21,https://www.antiwar.com,Anti-War,right-center,mostly factual,usa,mostly free,website,minimal traffic,medium credibility
22,https://hk.appledaily.com/,Apple Daily,right-center,mostly factual,hong kong,limited freedom,newspaper,high traffic (when online),high credibility
23,https://www.arcamax.com/,ArcaMax,,mostly factual,usa,,,,
24,https://www.argusleader.com,Argus Leader,right-center,high,usa,mostly free,newspaper,medium traffic,high credibility
25,https://www.arkansasonline.com/,Arkansas Democrat-Gazette,right-center,high,usa,mostly free,newspaper,medium traffic,high credibility
26,https://www.israelnationalnews.com/,Arutz Sheva (Israel National News),right-center,mixed,israel,moderate freedom,tv station,medium traffic,medium credibility
27,https://aawsat.com/english/,Asharq Al-Awsat,right-center,mixed,united kingdom,mostly free,newspaper,medium traffic,medium credibility
28,https://www.aninews.in,Asian News International (ANI),right-center,mixed,india,limited freedom,news agency,medium traffic,medium credibility
29,https://www.atchisonglobenow.com/,Atchison Daily Globe,right-center,high,usa,,newspaper,minimal traffic,high credibility
30,https://www.atlanticcouncil.org,Atlantic Council,right-center,high,usa,mostly free,organization/foundation,medium traffic,high credibility
31,https://www.atmoreadvance.com/,Atmore Advance,right-center,high,usa,mostly free,newspaper,minimal traffic,high credibility
32,https://newideal.aynrand.org/,Ayn Rand Institute,right-center,mixed,usa,mostly free,organization/foundation,medium traffic,medium credibility
33,https://www.bangkokpost.com/,The Bangkok Post,right-center,mixed,thailand,limited freedom,newspaper,high traffic,medium credibility
34,https://www.barrons.com,Barron’s,right-center,high,usa,,magazine,high traffic,high credibility
35,https://www.guardonline.com/,Batesville Daily Guard,right-center,high,usa,mostly free,newspaper,minimal traffic,high credibility
36,https://www.beavercreeknewscurrent.com/,Beavercreek News-Current,right-center,high,usa,mostly free,newspaper,minimal traffic,high credibility
37,https://beinglibertarian.com/,Being Libertarian,right-center,mixed,usa,mostly free,website,minimal traffic,medium credibility
38,https://www.bemidjipioneer.com/,Bemidji Pioneer,right-center,high,usa,mostly free,newspaper,medium traffic,high credibility
39,https://www.berlingske.dk/,Berlingske,,mostly factual,denmark,,,,
40,https://www.bild.de/,Bild,right-center,mixed,germany,mostly free,newspaper,high traffic,medium credibility
41,https://billingsgazette.com/,Billings Gazette,right-center,high,usa,,newspaper,medium traffic,high credibility
42,https://bipartisanpolicy.org,Bipartisan Policy Center,right-center,mostly factual,usa,mostly free,organization/foundation,minimal traffic,high credibility
43,www.bnr.nl,BNR NewsRadio,right-center,mostly factual,netherlands,mostly free,radio station,medium traffic,high credibility
44,https://www.boomlive.in/,BoomLive,right-center,high,india,limited freedom,website,medium traffic,high credibility
45,https://www.bostonherald.com/,Boston Herald,right-center,high,usa,,newspaper,high traffic,high credibility
46,https://www.brainerddispatch.com/,Brainerd Dispatch,right-center,high,usa,mostly free,newspaper,medium traffic,high credibility
47,https://breakingdefense.com/,Breaking Defense,right-center,high,usa,,website,medium traffic,high credibility
48,https://thebreakthrough.org,Breakthrough Institute,right-center,high,usa,mostly free,organization/foundation,minimal traffic,high credibility
49,https://www.bt.dk/,B.T. Denmark,,mostly factual,denmark,,,,
50,http://www.batimes.com.ar,Buenos Aires Times,right-center,high,argentina,mostly free,newspaper,medium traffic,high credibility
51,https://www.businesslive.co.za,BusinessLIVE,right-center,mixed,south africa,,website,medium traffic,medium credibility
52,https://www.business-standard.com/,Business Standard (India),right-center,mostly factual,india,limited freedom,newspaper,high traffic,high credibility
53,https://calgaryherald.com,Calgary Herald,,high,canada,,,,
54,https://californiaglobe.com/,California Globe,right-center,mixed,usa,,website,medium traffic,medium credibility
55,http://www.capoliticalreview.com/,California Political Review,right-center,mostly factual,usa,,website,minimal traffic,medium credibility
56,http://campaignforliberty.org/,Campaign for Liberty,right-center,mixed,usa,mostly free,organization/foundation,minimal traffic,medium credibility
57,https://thecjn.ca/,Canadian Jewish News (CJN),right-center,high,canada (14/180 press freedom),,organization/foundation,minimal traffic,high credibility
58,https://www.taxpayer.com/,Canadian Taxpayers Federation,right-center,high,canada (14/180 press freedom),,organization/foundation,medium traffic,high credibility
59,https://www.saltwire.com/cape-breton/,Cape Breton Post,right-center,high,canada,mostly free,newspaper,medium traffic,high credibility
60,https://www.capitalismmagazine.com/,Capitalism Magazine,,mostly factual,usa/bahamas,,,,
61,https://www.cato.org/,Cato Institute,right-center,high,usa,,organization/foundation,medium traffic,high credibility
62,https://www.ccn.com,CCN.com,right-center,high,norway,,website,medium traffic,high credibility
63,http://cftni.org/,Center for the National Interest,,high,usa,,,,
64,https://checkyourfact.com/,Check Your Fact,right-center,high,usa,mostly free,website,medium traffic,high credibility
65,https://www.chicagotribune.com/,Chicago Tribune,right-center,high,usa,,newspaper,high traffic,high credibility
